"","x"
"1","Bradyrhizobium.sp..BTAi1"
"2","Cupriavidus.metallidurans"
"3","Bradyrhizobium.sp..S23321"
"4","Bradyrhizobium.sp..SK17"
"5","Bacillus.subtilis"
"6","Rhodococcus.fascians"
"7","Bradyrhizobium.diazoefficiens"
"8","Rhodococcus.sp..PBTS.2"
"9","Methylobacterium.sp..C1"
"10","Gordonia.bronchialis"
"11","Lactobacillus.fermentum"
"12","Ralstonia.pickettii"
"13","Methylobacterium.radiotolerans"
"14","Listeria.monocytogenes"
"15","Streptococcus.thermophilus"
"16","Pseudomonas.fluorescens"
"17","Enterococcus.faecalis"
"18","Bradyrhizobium.japonicum"
"19","Pseudomonas.stutzeri"
"20","Chroococcidiopsis.thermalis"
"21","Pseudomonas.koreensis"
"22","Gordonia.terrae"
"23","Bradyrhizobium.sp."
"24","Janibacter.indicus"
"25","Pantoea.agglomerans"
"26","Bradyrhizobium.sp..CCGE.LA001"
"27","Carnobacterium.inhibens"
"28","Microlunatus.phosphovorus"
"29","Staphylococcus.hominis"
"30","Leuconostoc.mesenteroides"
"31","Dermacoccus.nishinomiyaensis"
"32","Gordonia.sp..KTR9"
"33","Pantoea.sp..PSNIH1"
"34","Kocuria.rhizophila"
"35","Acinetobacter.schindleri"
"36","Salmonella.enterica"
"37","Brevundimonas.sp..DS20"
"38","Staphylococcus.epidermidis"
"39","Klebsiella.quasipneumoniae"
"40","Methylobacterium.phyllosphaerae"
"41","Methylobacterium.oryzae"
"42","Paucibacter.sp..KCTC.42545"
"43","Cutibacterium.acnes"
"44","Rhodococcus.sp..B7740"
"45","Propionibacterium.virus.Pirate"
"46","Methylobacterium.populi"
"47","Staphylococcus.aureus"
"48","Leclercia.sp..LSNIH1"
"49","Erwinia.gerundensis"
"50","Rathayibacter.tritici"
"51","Carnobacterium.sp..17.4"
"52","Leuconostoc.carnosum"
"53","Roseateles.depolymerans"
"54","Microbacterium.sp..TPU.3598"
"55","Psychrobacter.sp..DAB_AL43B"
"56","Paracoccus.yeei"
"57","Kocuria.flava"
"58","Gordonia.phage.Phinally"
"59","Streptococcus.parasanguinis"
"60","Staphylococcus.pasteuri"
"61","Pantoea.sp..PSNIH2"
"62","Staphylococcus.capitis"
"63","Pseudomonas.balearica"
"64","Enterobacter.cloacae"
"65","Corynebacterium.kroppenstedtii"
"66","Staphylococcus.haemolyticus"
"67","Erwinia.billingiae"
"68","Thermothelomyces.thermophila"
"69","Acinetobacter.johnsonii"
"70","Lactococcus.lactis"
"71","Bradyrhizobium.sp..ORS.285"
"72","Brevundimonas.sp..GW460.12.10.14.LB2"
"73","Lactobacillus.delbrueckii"
"74","Calothrix.sp..NIES.4071"
"75","Microbacterium.sp..CGR1"
"76","Acinetobacter.sp..LoGeW2.3"
"77","Leuconostoc.gelidum"
"78","Clavibacter.michiganensis"
"79","Mitsuaria.sp..7"
"80","Brevundimonas.vesicularis"
"81","Rhodococcus.erythropolis"
"82","Nocardioides.sp..78"
"83","Tessaracoccus.sp..T2.5.30"
"84","Pseudomonas.azotoformans"
"85","Arsenicicoccus.sp..oral.taxon.190"
"86","Nocardioides.dokdonensis"
"87","Micrococcus.luteus"
"88","Saccharomyces.cerevisiae"
"89","Acinetobacter.junii"
"90","Moraxella.osloensis"
"91","Leishmania.major"
"92","Ralstonia.insidiosa"
"93","Rhodococcus.sp..PBTS.1"
"94","Bradyrhizobium.sp..ORS.278"
"95","Deinococcus.radiodurans"
"96","Nocardioides.sp..JS614"
"97","Hymenobacter.sp..PAMC.26554"
"98","Variovorax.sp..PAMC.28711"
"99","Human.mastadenovirus.C"
"100","Tessaracoccus.flavus"
"101","Methylobacterium.extorquens"
"102","Candida.dubliniensis"
"103","Bradyrhizobium.oligotrophicum"
"104","Hymenobacter.sedentarius"
"105","Arthrobacter.crystallopoietes"
"106","Lactobacillus.curvatus"
"107","Pseudarthrobacter.chlorophenolicus"
"108","Chryseobacterium.taklimakanense"
"109","Oscillatoria.nigro.viridis"
"110","Deinococcus.gobiensis"
"111","Pantoea.vagans"
"112","Brevundimonas.naejangsanensis"
"113","Stenotrophomonas.sp..LM091"
"114","Psychrobacter.alimentarius"
"115","Plautia.stali.symbiont"
"116","Deinococcus.swuensis"
"117","Microbacterium.sp..1.5R"
"118","Acinetobacter.haemolyticus"
"119","Enterococcus.faecium"
"120","Buchnera.aphidicola"
"121","Streptococcus.salivarius"
"122","Variovorax.paradoxus"
"123","Roseomonas.sp..FDAARGOS_362"
"124","Pseudomonas.fragi"
"125","Microbacterium.sp..PAMC.28756"
"126","Cupriavidus.basilensis"
"127","Modestobacter.marinus"
"128","Lactobacillus.amylovorus"
"129","Methylocystis.bryophila"
"130","Klebsiella.quasivariicola"
"131","Exiguobacterium.sibiricum"
"132","Streptococcus.mitis"
"133","Streptococcus.oralis"
"134","Jeotgalibacillus.malaysiensis"
"135","Rubrobacter.xylanophilus"
"136","Spirosoma.sp..HA7"
"137","Gardnerella.vaginalis"
"138","Massilia.sp..B2"
"139","Hymenobacter.sp..PAMC.26628"
"140","Pseudomonas.rhizosphaerae"
"141","Nakamurella.multipartita"
"142","Brevundimonas.sp..LM2"
"143","Acidovorax.sp..KKS102"
"144","Staphylococcus.saprophyticus"
"145","Acinetobacter.baumannii"
"146","Microbacterium.aurum"
"147","Rothia.dentocariosa"
"148","Acinetobacter.sp..NCu2D.2"
"149","Thielavia.terrestris"
"150","Pseudomonas.aeruginosa"
"151","Vitreoscilla.filiformis"
"152","Carnobacterium.maltaromaticum"
"153","Pimelobacter.simplex"
"154","Hymenobacter.sp..APR13"
"155","Corynebacterium.ureicelerivorans"
"156","Staphylococcus.equorum"
"157","Kytococcus.sedentarius"
"158","Staphylococcus.warneri"
"159","Polaromonas.naphthalenivorans"
"160","Streptococcus.gordonii"
"161","Brevundimonas.subvibrioides"
"162","Tsukamurella.sp..MH1"
"163","Veillonella.parvula"
"164","Auricoccus.indicus"
"165","Propionibacterium.sp..oral.taxon.193"
"166","Psychrobacter.cryohalolentis"
"167","Exiguobacterium.sp..AT1b"
"168","Methylobacterium.sp..AMS5"
"169","Bradyrhizobium.icense"
"170","Lactobacillus.sakei"
"171","Cronobacter.dublinensis"
"172","Truepera.radiovictrix"
"173","Escherichia.coli"
"174","Mycobacterium.sp..QIA.37"
"175","Psychrobacter.arcticus"
"176","Weissella.cibaria"
"177","Lactobacillus.reuteri"
"178","Kosakonia.cowanii"
"179","Geodermatophilus.obscurus"
"180","Theileria.orientalis"
"181","Fusobacterium.nucleatum"
"182","Rhodococcus.sp..YL.1"
"183","Nostoc.flagelliforme"
"184","Klebsiella.pneumoniae"
"185","Acinetobacter.pittii"
"186","Kocuria.palustris"
"187","Cronobacter.turicensis"
"188","Psychrobacter.sp..G"
"189","Hymenobacter.swuensis"
"190","Erythrobacter.atlanticus"
"191","Burkholderia.contaminans"
"192","Paracoccus.aminovorans"
"193","Arthrobacter.sp..U41"
"194","Paracoccus.contaminans"
"195","Dietzia.timorensis"
"196","Pseudomonas.pseudoalcaligenes"
"197","Sphingomonas.melonis"
"198","Enterobacter.asburiae"
"199","Massilia.sp..WG5"
"200","Glutamicibacter.arilaitensis"
